"","x"
"1",0.997272924649206
"2",0.957266302584962
"3",0.988995825762834
"4",0.986949786289818
"5",0.976603225166926
"6",0.954179709728747
"7",0.982915982513753
"8",0.993946189767291
"9",1.00100529431317
"10",0.987466505882127
"11",0.974245980773457
"12",0.995331335352706
"13",1.0059079917906
"14",0.985819507392119
"15",0.979619969517771
"16",0.950837504812585
"17",0.992352695313078
"18",0.998397403991198
"19",0.992103272294711
"20",0.972043482688198
"21",1.06102935441185
"22",0.976067041479477
"23",0.978498932277575
"24",1.00338723590285
"25",0.983971681010193
"26",0.761864679135419
"27",0.996003340466521
"28",0.942572239532625
"29",0.937980904054077
"30",0.907649827133825
"31",0.981086285691814
"32",0.897968250291073
"33",0.977343578338204
"34",0.980792195370972
"35",1.0944450509676
"36",1.14458758729849
"37",0.981515812437934
"38",1.0321009594115
"39",0.979805051625492
"40",0.999934648065363
"41",1.01396491855293
"42",1.01337197244711
"43",0.968198609802776
"44",0.991182070817737
"45",1.02221849423465
"46",0.918799701796804
"47",0.145174507141682
"48",0.763584514927072
"49",0.958962424076379
"50",0.998396114260358
"51",0.971879952019009
"52",0.950186047953871
"53",0.913368004578095
"54",0.98992874863107
"55",0.973024927546271
"56",0.987687925985731
"57",0.982869937785505
"58",0.991463305272755
"59",0.984641054825848
"60",0.940070575014092
"61",0.951039373377489
"62",0.979089597284944
"63",0.985705393501259
"64",0.989670306874241
"65",0.954238710855066
"66",0.988907832447209
"67",0.987541993299691
"68",0.582107839990233
"69",0.67860970430474
"70",0.883770676648987
"71",0.984582400186851
"72",0.996363329167947
"73",0.998699916179943
"74",1.01948161969363
"75",0.992435778808239
"76",0.991326150703579
"77",0.91544304447615
"78",0.946071797081455
"79",0.976093162437477
"80",1.00212083677403
"81",0.978466157830699
"82",0.991134423370269
"83",0.992398360677702
"84",0.970008283180812
"85",0.995575014936994
"86",0.991035589165243
"87",0.92901322520589
"88",0.984355540171584
"89",0.996281796868101
"90",1.02727558594093
"91",1.07676175530262
"92",0.985455279102066
"93",0.970474759483446
"94",0.967296381274085
"95",0.986711979684348
"96",0.826098430022448
"97",0.970290034859844
"98",0.966436829217151
"99",0.973939598147394
"100",0.963815221357127
"101",0.988811406604759
"102",0.995887693021764
"103",0.988235165041064
"104",0.990133995829657
"105",0.991247167215798
"106",0.990759787181413
"107",0.987869395238101
"108",0.970390104602372
"109",0.949505550342473
"110",0.983792367009598
"111",0.98757352814661
"112",1.00165292280303
"113",0.98721272050402
"114",0.94222375583787
"115",0.965854888537294
"116",0.973743648137006
"117",0.992149832181364
"118",0.984494103987046
"119",1.00030871917625
"120",1.00374137790673
"121",0.977134400649384
"122",0.962121253883372
"123",0.991072677119014
"124",0.990195974708537
"125",0.940643027215162
"126",0.979056349328055
"127",0.930577436617402
"128",0.954471577650618
"129",0.977828921201894
"130",0.985217487506481
"131",0.995584951970418
"132",0.993671099761792
"133",1.00768235171
"134",0.958982429029986
"135",0.931296484735269
"136",0.989670306874241
"137",0.988040913961465
"138",1.01234998277116
"139",1.03700565825179
"140",0.967112356841754
"141",0.936553288297828
"142",0.909493284557681
"143",0.987425929626339
"144",0.844628950059023
"145",0.981647975116341
"146",0.97967110081217
"147",0.98109407923442
"148",0.98233637519774
"149",1.01110805028557
"150",0.967742432897232
"151",0.980429120578435
"152",1.00156191356065
"153",0.992271376401904
"154",0.995864614864871
"155",1.00189339640484
"156",1.01046726995858
"157",0.970250649896358
"158",0.99420216897917
"159",1.00661703520686
"160",1.02695694261823
"161",0.966566314093655
"162",0.921047412248586
"163",1.03627731425017
"164",0.998488798429597
"165",1.00574423973694
"166",1.0794814245627
"167",1.02218591094355
"168",1.00906653375025
"169",0.891559640383623
"170",0.9610950601163
"171",0.95613511820559
"172",0.997171297434018
"173",0.870127931911648
"174",0.990915677900398
"175",0.964892454635198
"176",1.02291917112945
"177",0.994029303057771
"178",0.973613978669001
"179",0.990829602447676
"180",0.975084954189947
"181",0.97712798129759
"182",0.992936348819557
"183",0.988852713548403
"184",0.972530869785144
"185",0.994834407871604
"186",1.01233659155346
"187",0.992568919180915
"188",0.985143147665116
"189",0.984982376419282
"190",0.989677385042292
"191",0.897693861738242
"192",0.968938637936998
"193",0.986118135167472
"194",0.999458292341798
"195",0.97759275958496
"196",0.982347480996614
"197",0.978354303911245
"198",0.97557204964705
"199",0.992415676472593
"200",0.993345851998826
"201",1.00184806804336
"202",0.98763953212109
"203",1.01766927729193
"204",0.873576205031821
"205",0.993870053099241
"206",0.91148191738737
"207",0.909015352506314
"208",0.918843801055659
"209",-0.00825570882252502
"210",1.02347389784217
"211",0.977966842767677
